variant,image,family
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000016.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000026.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000033.jpg,Tornado
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000016.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000030.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000019.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000015.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000023.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000025.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000001.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000007.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000003.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000024.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000026.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000028.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000032.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000010.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000002.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000020.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000027.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000021.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000013.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000012.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000011.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000031.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000017.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000018.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000009.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000022.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000008.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000033.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000005.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000029.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000004.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000014.jpg,Tu-154
Tu-154,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0099/000006.jpg,Tu-154
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000015.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000024.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000023.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000019.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000020.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000014.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000002.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000018.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000010.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000021.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000022.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000008.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000009.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000006.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000011.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000001.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000028.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000030.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000033.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000012.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000013.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000005.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000026.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000004.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000027.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000016.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000029.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000031.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000032.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000025.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000007.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000003.jpg,Tu-134
Tu-134,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0098/000017.jpg,Tu-134
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000001.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000021.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000013.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000033.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000016.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000002.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000015.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000023.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000010.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000026.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000030.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000012.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000027.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000028.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000017.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000019.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000032.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000025.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000009.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000003.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000031.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000007.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000034.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000022.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000008.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000005.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000014.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000018.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000029.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000020.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000004.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000011.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000024.jpg,Yak-42
Yak-42,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0100/000006.jpg,Yak-42
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000001.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000013.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000015.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000032.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000003.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000027.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000009.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000017.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000010.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000011.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000020.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000021.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000033.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000028.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000016.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000018.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000019.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000023.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000014.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000008.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000012.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000006.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000022.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000024.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000004.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000005.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000031.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000025.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000007.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000002.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000029.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000026.jpg,Saab 340
Saab 340,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0095/000030.jpg,Saab 340
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000030.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000015.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000019.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000023.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000008.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000005.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000033.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000029.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000011.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000027.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000021.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000020.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000026.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000014.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000031.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000007.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000017.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000013.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000032.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000004.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000010.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000009.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000001.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000012.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000006.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000018.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000003.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000022.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000028.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000025.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000024.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000016.jpg,Spitfire
Spitfire,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0096/000002.jpg,Spitfire
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000018.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000006.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000008.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000012.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000019.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000009.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000022.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000020.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000001.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000030.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000010.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000025.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000024.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000003.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000027.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000004.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000002.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000015.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000032.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000007.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000029.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000026.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000033.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000023.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000013.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000014.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000028.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000031.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000005.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000016.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000017.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000011.jpg,SR-20
SR-20,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0093/000021.jpg,SR-20
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000019.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000025.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000030.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000002.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000016.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000027.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000022.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000010.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000032.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000026.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000008.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000004.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000015.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000033.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000029.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000007.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000003.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000028.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000005.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000023.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000034.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000011.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000014.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000013.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000009.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000012.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000021.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000024.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000001.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000006.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000031.jpg,Saab 2000
Saab 2000,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0094/000020.jpg,Saab 2000
